Tweet: Every bull market's leading sectors are different
Replies:647 , Likes:51  , Retweets:386 
 ___________________________________________________________________
| #No of Tweets: 774                 |  count   |  Like   | Retweet |
|____________________________________|__________|_________|_________|
|  1. Auto                           |      41  |      31 |       0 |                                     
|  2. Ev                             |      16  |      10 |       1 |                                     
|  3. FMCG                           |      14  |       3 |       0 |                                     
|  4. Power                          |      13  |       3 |       0 |                                     
|  5. Energy                         |      11  |       8 |       1 |                                     
|  6. Metals                         |       9  |       3 |       0 |                                     
|  7. Bull Run                       |       8  |      11 |       0 |                                     
|  8. Defence                        |       7  |       5 |       0 |                                     
|  9. The Sector For                 |       6  |       0 |       0 |                                     
| 10. Banks                          |       6  |       1 |       0 |                                     
|____________________________________|__________|_________|_________|


